"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","916","testCreateOrderWithoutAuthWithIngredients","","","passed","","","tests.OrderTest","tests.OrderTest",""
"","8236","testCreateOrderWithAuthAndIngredients","","","passed","","","tests.OrderTest","tests.OrderTest",""
"","864","testLoginWithInvalidEmail","","","passed","","","tests.UserLoginTest","tests.UserLoginTest",""
"","872","testCreateOrderWithInvalidIngredients","","","passed","","","tests.OrderTest","tests.OrderTest",""
"","70","testCreateUserWithoutEmail","","","passed","","","tests.UserCreationTest","tests.UserCreationTest",""
"","885","testCreateOrderWithoutIngredients","","","passed","","","tests.OrderTest","tests.OrderTest",""
"","68","testCreateUserWithoutName","","","passed","","","tests.UserCreationTest","tests.UserCreationTest",""
"","1231","testLoginExistingUser","","","passed","","","tests.UserLoginTest","tests.UserLoginTest",""
"","847","testCreateUniqueUser","","","passed","","","tests.UserCreationTest","tests.UserCreationTest",""
"","67","testCreateUserWithoutPassword","","","passed","","","tests.UserCreationTest","tests.UserCreationTest",""
"","966","testLoginWithInvalidPassword","","","passed","","","tests.UserLoginTest","tests.UserLoginTest",""
"","192","testCreateDuplicateUser","","","passed","","","tests.UserCreationTest","tests.UserCreationTest",""
